ID;Name
465860;"b""Awakening: The Sunhook Spire Collector's Edition"""
465870;b'SHOCK TROOPERS 2nd Squad'
465890;"b""Dark Parables: The Final Cinderella Collector's Edition"""
465900;"b""Dark Tales: Edgar Allan Poe's The Gold Bug Collector's Edition"""
465920;"b""Echoes of the Past: The Revenge of the Witch Collector's Edition"""
465930;b'OddPlanet'
465940;b'Astral Domine Demo'
465950;b'NewRetroArcade: Neon Demo'
465960;b'Farm Tribe'
465970;b'Grave Mania: Undead Fever'
465980;b'Ori and the Blind Forest (Original Soundtrack)'
465990;"b""Hidden Expedition: The Crown of Solomon Collector's Edition"""
466000;"b""Maze: Subject 360 Collector's Edition"""
466010;"b""Nevertales: The Beauty Within Collector's Edition"""
466020;"b""Off the Record: The Linden Shades Collector's Edition"""
466030;"b""Otherworld: Spring of Shadows Collector's Edition"""
466040;b'Pet Store Panic'
466050;"b""Redemption Cemetery: Salvation of the Lost Collector's Edition"""
466060;"b""Shiver: Vanishing Hitchhiker Collector's Edition"""
466070;b'Spa Mania'
466080;"b""Surface: The Pantheon Collector's Edition"""
466100;"b""Witches' Legacy: The Ties That Bind Collector's Edition"""
466110;b'Shaolin vs Wutang'
466130;b'White Day: A Labyrinth Named School'
466160;b'Arelite Core'
466170;b'Idling to Rule the Gods'
466200;b'Scourge of War: Quatre Bras'
466210;b'Race & Destroy'
466220;b'Kingdom of Loot'
466250;b'Fantasy Grounds - 5E: Primeval Thule Campaign Setting'
466260;b'inVR'
466280;b'Super Cube Smash'
466290;b'BitShift: BattleGrid'
466300;b'Planescape: Torment: Enhanced Edition'
466350;b'Fossil Echo'
465460;b'Abrix the robot Demo'
465470;b'Vertigo Demo'
465480;b'100% Orange Juice - Breaker Pack'
465490;b'Stellar Tactics'
465510;b'Sinful Eden'
465520;b'PRICE'
465530;b'Amaranthine - Original Soundtrack'
465540;b'Adventure World'
465550;b'Retool Demo'
465560;b'Adam and Eve: The Game - Chapter 1 Demo'
465570;b'ParaKrieger'
465600;b'Hero Siege - Zombie Hunter (Skin)'
465610;b'City Z - Soundtrack'
465630;b'Ghostbusters Classic Suit Pack'
465650;b'Out of the Park Baseball 18'
465660;b'Franchise Hockey Manager 3'
465670;b'Project G'
465680;b'Wicce ~ Original Sound Track~'
465691;b'Rot Gut - OST'
465710;b'Heroes Tactics'
465720;b'Demon Hunter 2: New Chapter'
465730;b'Steamroll - Original Soundtrack'
465750;b'Tank Battle: North Africa'
465760;b'Scrap Garden'
465780;b'NewRetroArcade: Neon'
465830;b'Immortal Empire - Starter Pack 1'
465831;b'Immortal Empire - Starter Pack 2'
465832;b'Immortal Empire - Adventurer Pack'
465833;b'Immortal Empire - Mercenary Pack'
465834;b'Immortal Empire - Master Pack'
464960;b'Hiiro'
464970;b'The Culling Of The Cows - Original Soundtrack'
464980;b'HEX: Primal Dawn Bundle'
465000;b'Event Horizon'
465010;b'Quantized'
